#Alamein Line - To City,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Alamein,Asburton,Burwood,Hartwell,Willison,Riversdale,Camberwell,Auburn,Glenferrie,Hawthorn,Burnley,East Richmond,Richmond,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament
t1,5:01,5:02,5:04,5:06,5:08,5:10,5:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t2,-,-,-,-,-,-,5:16,5:18,5:20,5:22,5:24,|,5:27,5:30,5:32,5:33,5:35,5:39,-,-,-,-,-
t3,-,-,-,-,-,-,5:31,5:33,5:35,5:37,5:39,5:41,5:43,5:46,5:48,5:49,5:51,5:55,-,-,-,-,-
t4,-,-,-,-,-,-,5:46,|,|,|,|,|,5:54,5:57,5:59,6:00,6:02,6:06,-,-,-,-,-
t5,5:38,5:39,5:41,5:43,5:45,5:47,5:50,5:52,5:54,5:56,5:58,|,6:01,6:04,6:06,6:07,6:09,6:13,-,-,-,-,-
t6,-,-,-,-,-,-,6:01,6:03,6:05,6:07,6:09,6:11,6:13,6:16,6:18,6:19,6:21,6:25,-,-,-,-,-
t7,-,-,-,-,-,-,6:16,|,|,|,|,|,6:24,6:27,6:29,6:30,6:32,6:36,-,-,-,-,-
t8,6:06,6:07,6:09,6:11,6:13,6:15,6:18,6:20,6:22,6:24,6:26,|,6:29,6:32,6:34,6:36,6:38,6:42,-,-,-,-,-
t9,-,-,-,-,-,-,6:31,|,|,|,|,|,6:39,6:42,6:44,6:46,6:48,6:52,-,-,-,-,-
t10,6:22,6:23,6:25,6:27,6:29,6:31,6:34,6:36,6:38,6:40,6:42,|,6:45,6:48,6:50,6:52,6:54,6:58,-,-,-,-,-
t11,-,-,-,-,-,-,6:39,|,|,|,|,|,6:47,6:50,6:52,6:54,6:56,7:01,-,-,-,-,-
t12,-,-,-,-,-,-,6:47,|,6:50,|,|,|,6:56,6:59,7:01,7:03,7:05,7:09,-,-,-,-,-
t13,-,-,-,-,-,-,6:53,|,6:56,|,|,|,7:02,7:05,7:07,7:09,7:11,7:15,-,-,-,-,-
t14,-,-,-,-,-,-,6:55,|,6:58,|,|,|,7:04,7:07,7:09,7:11,7:13,7:17,-,-,-,-,-
t15,6:44,6:45,6:47,6:49,6:51,6:53,6:56,6:58,7:00,7:02,7:04,|,7:07,7:10,7:12,7:14,7:16,7:20,-,-,-,-,-
t16,-,-,-,-,-,-,7:03,7:05,7:07,7:09,7:11,|,7:14,7:17,7:19,7:21,7:23,7:27,-,-,-,-,-
t17,-,-,-,-,-,-,7:09,|,|,|,|,|,7:17,7:20,7:22,7:24,7:26,7:31,-,-,-,-,-
t18,-,-,-,-,-,-,7:11,|,|,|,|,|,7:19,7:22,7:24,7:26,7:28,7:33,-,-,-,-,-
t19,7:01,7:02,7:04,7:06,7:08,7:10,7:13,7:15,7:17,7:19,7:21,|,7:24,7:27,7:29,7:31,7:33,7:37,-,-,-,-,-
t20,-,-,-,-,-,-,7:22,7:24,7:26,7:28,7:30,|,7:33,7:36,7:38,7:40,7:42,7:47,-,-,-,-,-
t21,7:16,7:17,7:19,7:21,7:23,7:25,7:28,7:30,7:32,7:34,7:36,|,7:39,7:42,7:44,7:46,7:48,7:53,-,-,-,-,-
t22,-,-,-,-,-,-,7:33,7:35,7:37,7:39,7:42,|,7:45,7:48,7:50,7:52,7:54,7:59,-,-,-,-,-
t23,-,-,-,-,-,-,7:40,|,7:43,|,|,|,7:49,7:52,7:54,7:56,7:58,8:03,-,-,-,-,-
t24,-,-,-,-,-,-,7:43,7:45,7:47,7:49,7:51,|,7:54,7:57,7:59,8:01,8:03,8:08,-,-,-,-,-
t25,7:36,7:37,7:39,7:41,7:43,7:45,7:48,7:50,7:52,7:54,7:56,|,7:59,8:02,8:04,8:06,8:08,8:13,-,-,-,-,-
t26,-,-,-,-,-,-,7:53,7:55,7:57,7:59,8:01,|,8:04,8:07,8:09,8:11,8:13,8:18,-,-,-,-,-
t27,-,-,-,-,-,-,7:58,|,8:01,|,|,|,8:07,8:10,8:12,8:14,8:16,8:21,-,-,-,-,-
t28,-,-,-,-,-,-,8:02,|,8:05,|,|,|,8:11,8:14,8:16,8:18,8:20,8:25,-,-,-,-,-
t29,-,-,-,-,-,-,8:05,8:07,8:09,8:11,8:13,|,8:16,8:19,8:21,8:23,8:25,8:30,-,-,-,-,-
t30,7:57,7:58,8:00,8:02,8:04,8:06,8:09,8:11,8:13,8:15,8:17,|,8:20,8:23,8:25,8:27,8:29,8:34,-,-,-,-,-
t31,-,-,-,-,-,-,8:14,8:16,8:18,8:20,8:22,|,8:25,8:28,8:30,8:32,8:34,8:39,-,-,-,-,-
t32,-,-,-,-,-,-,8:20,|,8:23,|,|,|,8:29,8:32,8:34,8:36,8:38,8:43,-,-,-,-,-
t33,-,-,-,-,-,-,8:23,8:25,8:27,8:29,8:31,|,8:34,8:37,8:39,8:41,8:43,8:48,-,-,-,-,-
t34,8:16,8:17,8:19,8:21,8:23,8:25,8:28,8:30,8:32,8:34,8:36,|,8:39,8:42,8:44,8:46,8:48,8:54,-,-,-,-,-
t35,-,-,-,-,-,-,8:33,8:35,8:37,8:39,8:41,|,8:44,8:47,8:49,8:51,8:53,8:58,-,-,-,-,-
t36,-,-,-,-,-,-,8:40,|,8:43,|,|,|,8:49,8:52,8:54,8:56,8:58,9:02,-,-,-,-,-
t37,-,-,-,-,-,-,8:43,|,8:46,|,|,|,8:52,8:55,8:57,8:59,9:01,9:05,-,-,-,-,-
t38,8:36,8:37,8:39,8:41,8:43,8:45,8:48,8:50,8:52,8:54,8:56,|,8:59,9:02,9:04,9:06,9:08,9:12,-,-,-,-,-
t39,-,-,-,-,-,-,9:00,|,9:03,|,|,|,9:09,9:12,9:14,9:16,9:18,9:22,-,-,-,-,-
t40,-,-,-,-,-,-,9:00,9:02,9:04,9:06,9:08,|,9:11,9:14,9:16,9:18,9:20,9:24,-,-,-,-,-
t41,8:52,8:53,8:55,8:57,8:59,9:01,9:04,9:06,9:08,9:10,9:12,|,9:15,9:18,9:20,9:21,9:23,9:28,-,-,-,-,-
t42,-,-,-,-,-,-,9:13,9:15,9:17,9:19,9:21,|,9:24,9:27,9:29,9:31,9:33,9:37,-,-,-,-,-
t43,-,-,-,-,-,-,9:14,|,|,|,|,|,9:22,9:25,9:27,9:29,9:31,9:35,-,-,-,-,-
t44,9:08,9:09,9:11,9:13,9:15,9:17,9:20,9:22,9:24,9:26,9:28,|,9:31,9:34,9:36,9:37,9:39,9:43,-,-,-,-,-
t45,-,-,-,-,-,-,9:25,9:27,9:29,9:31,9:33,|,9:36,9:39,9:41,9:42,9:44,9:48,-,-,-,-,-
t46,-,-,-,-,-,-,9:30,|,9:33,|,|,|,9:39,9:42,9:44,9:45,9:47,9:51,-,-,-,-,-
t47,9:23,9:24,9:26,9:28,9:30,9:32,9:35,9:37,9:39,9:41,9:43,|,9:46,9:49,9:51,9:52,9:54,9:58,-,-,-,-,-
t48,-,-,-,-,-,-,9:39,9:41,9:43,9:45,9:48,|,9:51,9:54,9:56,9:57,9:59,10:03,-,-,-,-,-
t49,-,-,-,-,-,-,9:40,|,9:43,|,|,|,9:49,9:52,9:54,9:55,9:57,10:01,-,-,-,-,-
t50,9:38,9:39,9:41,9:43,9:44,9:46,9:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t51,-,-,-,-,-,-,9:51,9:53,9:55,9:57,10:00,|,10:03,10:06,10:08,10:09,10:11,10:15,-,-,-,-,-
t52,-,-,-,-,-,-,9:52,|,9:55,|,|,|,10:01,10:04,10:06,10:07,10:09,10:13,-,-,-,-,-
t53,-,-,-,-,-,-,10:01,10:03,10:05,10:07,10:09,|,10:12,10:15,10:17,10:18,10:20,10:24,-,-,-,-,-
t54,9:53,9:54,9:56,9:58,9:59,10:01,10:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t55,-,-,-,-,-,-,10:06,|,10:09,|,|,|,10:15,10:18,10:20,10:21,10:23,10:28,-,-,-,-,-
t56,-,-,-,-,-,-,10:13,10:15,10:17,10:19,10:21,|,10:24,10:27,10:29,10:30,10:32,10:36,-,-,-,-,-
t57,10:07,10:08,10:10,10:12,10:13,10:15,10:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t58,-,-,-,-,-,-,10:19,|,10:22,|,|,|,10:28,10:31,10:33,10:34,10:36,10:40,-,-,-,-,-
t59,-,-,-,-,-,-,10:26,10:28,10:30,10:32,10:34,|,10:37,10:40,10:42,10:43,10:45,10:49,-,-,-,-,-
t60,-,-,-,-,-,-,10:30,|,10:33,|,|,|,10:39,10:42,10:44,10:45,10:47,10:51,-,-,-,-,-
t61,10:23,10:24,10:26,10:28,10:29,10:31,10:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t62,-,-,-,-,-,-,10:38,10:40,10:42,10:44,10:46,|,10:49,10:52,10:54,10:55,10:57,11:01,-,-,-,-,-
t63,-,-,-,-,-,-,10:45,|,10:48,|,|,|,10:54,10:57,10:59,11:00,11:02,11:06,-,-,-,-,-
t64,10:38,10:39,10:41,10:43,10:44,10:46,10:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t65,-,-,-,-,-,-,10:53,10:55,10:57,10:59,11:01,|,11:04,11:07,11:09,11:10,11:12,11:16,-,-,-,-,-
t66,-,-,-,-,-,-,11:00,|,11:03,|,|,|,11:09,11:12,11:14,11:15,11:17,11:21,-,-,-,-,-
t67,10:53,10:54,10:56,10:58,10:59,11:01,11:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t68,-,-,-,-,-,-,11:08,11:10,11:12,11:14,11:16,|,11:19,11:22,11:24,11:25,11:27,11:31,-,-,-,-,-
t69,-,-,-,-,-,-,11:15,|,11:18,|,|,|,11:24,11:27,11:29,11:30,11:32,11:36,-,-,-,-,-
t70,11:08,11:09,11:11,11:13,11:14,11:16,11:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t71,-,-,-,-,-,-,11:23,11:25,11:27,11:29,11:31,|,11:34,11:37,11:39,11:40,11:42,11:46,-,-,-,-,-
t72,-,-,-,-,-,-,11:30,|,11:33,|,|,|,11:39,11:42,11:44,11:45,11:47,11:51,-,-,-,-,-
t73,11:23,11:24,11:26,11:28,11:29,11:31,11:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t74,-,-,-,-,-,-,11:38,11:40,11:42,11:44,11:46,|,11:49,11:52,11:54,11:55,11:57,12:01,-,-,-,-,-
t75,-,-,-,-,-,-,11:45,|,11:48,|,|,|,11:54,11:57,11:59,12:00,12:02,12:06,-,-,-,-,-
t76,11:38,11:39,11:41,11:43,11:44,11:46,11:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t77,-,-,-,-,-,-,11:53,11:55,11:57,11:59,12:01,|,12:04,12:07,12:09,12:10,12:12,12:16,-,-,-,-,-
t78,-,-,-,-,-,-,12:00,|,12:03,|,|,|,12:09,12:12,12:14,12:15,12:17,12:22,-,-,-,-,-
t79,11:53,11:54,11:56,11:58,11:59,12:01,12:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t80,-,-,-,-,-,-,12:08,12:10,12:12,12:14,12:16,|,12:19,12:22,12:24,12:25,12:27,12:31,-,-,-,-,-
t81,-,-,-,-,-,-,12:15,|,12:18,|,|,|,12:24,12:27,12:29,12:30,12:32,12:37,-,-,-,-,-
t82,12:08,12:09,12:11,12:13,12:14,12:16,12:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t83,-,-,-,-,-,-,12:23,12:25,12:27,12:29,12:31,|,12:34,12:37,12:39,12:40,12:42,12:46,-,-,-,-,-
t84,-,-,-,-,-,-,12:30,|,12:33,|,|,|,12:39,12:42,12:44,12:45,12:47,12:51,-,-,-,-,-
t85,12:23,12:24,12:26,12:28,12:29,12:31,12:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t86,-,-,-,-,-,-,12:38,12:40,12:42,12:44,12:46,|,12:49,,,,,12:53,-,-,-,-,-
t87,12:38,12:39,12:41,12:43,12:44,12:46,12:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t88,-,-,-,-,-,-,12:51,12:53,12:55,12:57,12:59,|,13:02,,,,,13:06,13:12,13:15,13:17,13:18,13:19
t89,12:53,12:54,12:56,12:58,12:59,13:01,13:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t90,-,-,-,-,-,-,13:06,13:08,13:10,13:12,13:14,|,13:17,,,,,13:21,13:27,13:30,13:32,13:33,13:34
t91,13:08,13:09,13:11,13:13,13:14,13:16,13:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t92,-,-,-,-,-,-,13:21,13:23,13:25,13:27,13:29,|,13:32,,,,,13:36,13:42,13:45,13:47,13:48,13:49
t93,13:23,13:24,13:26,13:28,13:29,13:31,13:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t94,-,-,-,-,-,-,13:36,13:38,13:40,13:42,13:44,|,13:47,,,,,13:51,-,-,-,-,-
t95,13:38,13:39,13:41,13:43,13:44,13:46,13:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t96,-,-,-,-,-,-,13:51,13:53,13:55,13:57,13:59,|,14:02,,,,,14:06,-,-,-,-,-
t97,13:53,13:54,13:56,13:58,13:59,14:01,14:04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t98,-,-,-,-,-,-,14:06,14:08,14:10,14:12,14:14,|,14:17,,,,,14:21,-,-,-,-,-
t99,14:08,14:09,14:11,14:13,14:14,14:16,14:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t100,-,-,-,-,-,-,14:21,14:23,14:25,14:27,14:29,|,14:32,,,,,14:36,-,-,-,-,-
t101,-,-,-,-,-,-,14:36,|,|,|,|,|,14:44,,,,,14:48,-,-,-,-,-
t102,14:26,14:27,14:29,14:31,14:33,14:35,14:38,14:40,14:42,14:44,14:46,14:48,14:50,,,,,14:55,-,-,-,-,-
t103,-,-,-,-,-,-,14:51,|,14:54,|,|,|,15:00,,,,,15:04,-,-,-,-,-
t104,14:41,14:42,14:44,14:46,14:48,14:50,14:53,14:55,14:57,14:59,15:01,15:03,15:05,,,,,15:09,-,-,-,-,-
t105,-,-,-,-,-,-,15:06,|,15:09,|,|,|,15:15,,,,,15:21,15:23,15:26,15:28,15:29,15:30
t106,14:54,14:55,14:57,14:59,15:01,15:03,15:08,15:10,15:12,15:14,15:16,15:18,15:20,,,,,15:24,-,-,-,-,-
t107,-,-,-,-,-,-,15:21,|,15:24,|,|,|,15:30,,,,,15:34,15:38,15:41,15:43,15:45,15:46
t108,15:09,15:10,15:12,15:14,15:15,15:17,15:23,15:25,15:27,15:29,15:31,15:33,15:35,,,,,15:40,-,-,-,-,-
t109,-,-,-,-,-,-,15:28,15:30,15:32,15:34,15:36,15:38,15:40,,,,,15:44,15:46,15:49,15:51,15:53,15:54
t110,-,-,-,-,-,-,15:36,|,15:39,|,|,|,15:45,,,,,15:49,15:51,15:54,15:56,15:58,15:59
t111,15:24,15:25,15:27,15:29,15:31,15:33,15:38,15:40,15:42,15:44,15:46,15:48,15:50,,,,,15:55,-,-,-,-,-
t112,-,-,-,-,-,-,15:43,15:45,15:47,15:49,15:51,15:53,15:55,,,,,15:59,16:01,16:04,16:06,16:08,16:09
t113,-,-,-,-,-,-,15:51,|,15:54,|,|,|,16:00,,,,,16:04,-,-,-,-,-
t114,-,-,-,-,-,-,15:57,15:59,16:01,16:03,16:05,16:07,16:09,,,,,16:13,16:15,16:18,16:20,16:22,16:23
t115,-,-,-,-,-,-,16:02,|,16:05,|,|,|,16:11,,,,,16:15,16:17,16:20,16:22,16:24,16:25
t116,-,-,-,-,-,-,16:08,16:10,16:12,16:14,16:16,16:18,16:20,,,,,16:24,-,-,-,-,-
t117,15:59,16:00,16:02,16:04,16:06,16:08,16:11,16:13,16:15,16:17,16:19,16:21,16:23,,,,,16:27,16:30,16:33,16:35,16:37,16:38
t118,-,-,-,-,-,-,16:17,|,16:20,|,|,|,16:26,,,,,16:30,-,-,-,-,-
t119,-,-,-,-,-,-,16:23,16:25,16:27,16:29,16:31,16:33,16:35,,,,,16:40,16:46,16:49,16:51,16:53,16:54
t120,16:15,16:16,16:18,16:20,16:22,16:24,16:27,16:29,16:31,16:33,16:35,16:37,16:39,,,,,16:43,16:46,16:49,16:51,16:53,16:54
t121,-,-,-,-,-,-,16:32,|,16:35,|,|,|,16:41,,,,,16:45,-,-,-,-,-
t122,-,-,-,-,-,-,16:38,16:40,16:42,16:44,16:46,16:48,16:50,,,,,16:55,16:58,17:01,17:03,17:05,17:06
t123,16:31,16:32,16:34,16:36,16:38,16:40,16:43,16:45,16:47,16:49,16:51,16:53,16:55,,,,,16:59,17:01,17:04,17:06,17:08,17:09
t124,-,-,-,-,-,-,16:47,|,16:50,|,|,|,16:57,,,,,17:01,-,-,-,-,-
t125,-,-,-,-,-,-,16:53,16:55,16:57,16:59,17:01,17:03,17:05,,,,,17:09,-,-,-,-,-
t126,16:43,16:44,16:46,16:48,16:50,16:52,16:55,16:57,16:59,17:01,17:03,|,17:06,,,,,17:10,17:13,17:16,17:18,17:20,17:21
t127,-,-,-,-,-,-,16:59,|,17:02,|,|,|,17:08,,,,,17:12,17:15,17:18,17:20,17:22,17:23
t128,-,-,-,-,-,-,17:02,|,17:05,|,|,|,17:11,,,,,17:15,17:17,17:20,17:22,17:24,17:25
t129,-,-,-,-,-,-,17:08,17:10,17:12,17:14,17:16,17:18,17:20,,,,,17:25,-,-,-,-,-
t130,16:58,16:59,17:01,17:03,17:05,17:07,17:10,17:12,17:14,17:16,17:18,|,17:21,,,,,17:25,-,-,-,-,-
t131,-,-,-,-,-,-,17:14,|,17:17,|,|,|,17:23,,,,,17:28,17:31,17:34,17:36,17:38,17:39
t132,-,-,-,-,-,-,17:17,|,17:20,|,|,|,17:26,,,,,17:30,17:33,17:36,17:38,17:40,17:41
t133,17:10,17:11,17:13,17:15,17:17,17:19,17:22,17:24,17:26,17:28,17:30,17:32,17:34,,,,,17:38,-,-,-,-,-
t134,-,-,-,-,-,-,17:24,17:26,17:28,17:30,17:32,|,17:35,,,,,17:39,-,-,-,-,-
t135,-,-,-,-,-,-,17:29,|,|,|,|,|,17:37,,,,,17:41,17:43,17:46,17:48,17:50,17:51
t136,-,-,-,-,-,-,17:32,|,17:35,|,|,|,17:41,,,,,17:45,17:48,17:51,17:53,17:55,17:56
t137,17:24,17:25,17:27,17:29,17:31,17:33,17:36,|,17:39,|,|,|,17:45,,,,,17:49,-,-,-,-,-
t138,-,-,-,-,-,-,17:38,17:40,17:42,17:44,17:46,|,17:49,,,,,17:53,-,-,-,-,-
t139,-,-,-,-,-,-,17:44,|,17:47,|,|,|,17:53,,,,,17:58,-,-,-,-,-
t140,17:39,17:40,17:42,17:44,17:46,17:48,17:51,17:53,17:55,17:57,17:59,18:01,18:03,,,,,18:07,-,-,-,-,-
t141,-,-,-,-,-,-,17:53,17:55,17:57,17:59,18:01,|,18:04,,,,,18:08,-,-,-,-,-
t142,-,-,-,-,-,-,17:59,|,18:02,|,|,|,18:08,,,,,18:12,-,-,-,-,-
t143,-,-,-,-,-,-,18:02,|,18:05,|,|,|,18:11,,,,,18:16,-,-,-,-,-
t144,17:53,17:54,17:56,17:58,18:00,18:02,18:05,18:07,18:09,18:11,18:13,18:15,18:17,,,,,18:21,18:24,18:27,18:29,18:31,18:32
t145,-,-,-,-,-,-,18:08,18:10,18:12,18:14,18:16,18:18,18:20,,,,,18:24,18:27,18:30,18:32,18:33,18:34
t146,-,-,-,-,-,-,18:16,|,|,|,|,|,18:24,,,,,18:28,18:33,18:36,18:38,18:39,18:40
t147,18:07,18:08,18:10,18:12,18:14,18:16,18:19,18:21,18:23,18:25,18:27,18:29,18:31,,,,,18:35,-,-,-,-,-
t148,-,-,-,-,-,-,18:23,18:25,18:27,18:29,18:31,18:33,18:35,,,,,18:39,-,-,-,-,-
t149,-,-,-,-,-,-,18:26,|,18:29,|,|,|,18:36,,,,,18:40,-,-,-,-,-
t150,-,-,-,-,-,-,18:32,|,|,|,|,|,18:40,,,,,18:44,-,-,-,-,-
t151,18:22,18:23,18:25,18:27,18:29,18:31,18:34,18:36,18:38,18:40,18:42,18:44,18:46,,,,,18:51,18:54,18:57,18:59,19:00,19:01
t152,-,-,-,-,-,-,18:38,18:40,18:42,18:44,18:46,18:48,18:50,,,,,18:54,-,-,-,-,-
t153,-,-,-,-,-,-,18:44,|,18:47,|,|,|,18:53,,,,,18:57,-,-,-,-,-
t154,-,-,-,-,-,-,18:51,|,18:54,|,|,|,19:00,,,,,19:04,-,-,-,-,-
t155,18:41,18:42,18:44,18:46,18:48,18:50,18:53,18:55,18:57,18:59,19:01,19:03,19:05,,,,,19:09,-,-,-,-,-
t156,-,-,-,-,-,-,19:05,19:07,19:09,19:11,19:13,|,19:16,,,,,19:20,19:29,19:32,19:34,19:35,19:36
t157,19:06,19:07,19:09,19:11,19:12,19:14,19:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t158,-,-,-,-,-,-,19:20,19:22,19:24,19:26,19:28,|,19:31,,,,,19:35,-,-,-,-,-
t159,-,-,-,-,-,-,19:34,|,|,|,|,|,19:42,,,,,19:46,-,-,-,-,-
t160,19:24,19:25,19:27,19:29,19:31,19:33,19:36,19:38,19:40,19:42,19:44,19:46,19:48,,,,,19:52,-,-,-,-,-
t161,-,-,-,-,-,-,19:47,19:49,19:51,19:53,19:55,|,19:58,,,,,20:02,-,-,-,-,-
t162,19:41,19:42,19:44,19:46,19:47,19:49,19:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t163,19:52,19:53,19:55,19:57,19:58,20:00,20:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t164,-,-,-,-,-,-,20:05,20:07,20:09,20:11,20:13,|,20:16,,,,,20:20,20:29,20:32,20:34,20:35,20:36
t165,-,-,-,-,-,-,20:25,|,|,|,|,|,20:33,,,,,20:37,-,-,-,-,-
t166,20:16,20:17,20:19,20:21,20:22,20:24,20:27,20:29,20:31,20:33,20:35,20:37,20:39,,,,,20:43,20:50,20:53,20:55,20:56,20:57
t167,-,-,-,-,-,-,20:44,20:46,20:48,20:50,20:52,|,20:55,,,,,20:59,21:05,21:08,21:10,21:11,21:12
t168,-,-,-,-,-,-,20:52,20:54,20:56,20:58,21:00,|,21:03,,,,,21:07,-,-,-,-,-
t169,20:44,20:45,20:47,20:49,20:50,20:52,20:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t170,-,-,-,-,-,-,21:02,21:04,21:06,21:08,21:10,|,21:13,,,,,21:17,21:20,21:23,21:25,21:26,21:27
t171,21:14,21:15,21:17,21:19,21:20,21:22,21:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t172,-,-,-,-,-,-,21:32,21:34,21:36,21:38,21:40,|,21:43,,,,,21:47,21:50,21:53,21:55,21:56,21:57
t173,21:44,21:45,21:47,21:49,21:50,21:52,21:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t174,-,-,-,-,-,-,22:02,22:04,22:06,22:08,22:10,|,22:13,,,,,22:17,-,-,-,-,-
t175,22:14,22:15,22:17,22:19,22:20,22:22,22:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t176,-,-,-,-,-,-,22:32,22:34,22:36,22:38,22:40,|,22:43,,,,,22:47,22:59,23:02,23:04,23:05,23:06
t177,22:44,22:45,22:47,22:49,22:50,22:52,22:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t178,-,-,-,-,-,-,23:02,23:04,23:06,23:08,23:10,|,23:13,,,,,23:17,23:29,23:32,23:34,23:35,23:36
t179,23:14,23:15,23:17,23:19,23:20,23:22,23:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t180,-,-,-,-,-,-,23:32,23:34,23:36,23:38,23:40,|,23:43,,,,,23:47,23:59,0:02,0:04,0:05,0:06
t181,23:44,23:45,23:47,23:49,23:50,23:52,23:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t182,-,-,-,-,-,-,0:02,0:04,0:06,0:08,0:10,|,0:13,,,,,0:17,-,-,-,-,-
t183,0:14,0:15,0:17,0:19,0:20,0:22,0:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
