#Sunbury Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Sunbury,Diggers Rest,Watergardens,Keilor Plains,St Albans,Ginifer,Albion,Sunshine,Tottenham,West Footscray,Middle Footscray,Footscray,South Kensington,North Melbourne,Flagstaff,Melbourne Central,Parliament,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Parliament,Melbourne Central,Flagstaff,Southern Cross
t1,-,-,-,-,-,-,-,-,-,-,-,5:16,5:19,5:22,Ê,Ê,Ê,5:25,5:29,-,-,-,-,-
t2,-,-,-,-,-,-,-,-,-,-,-,5:21,5:24,5:27,Ê,Ê,Ê,5:30,5:34,-,-,-,-,-
t3,4:48,4:52,4:59,5:02,5:05,5:07,5:10,5:12,5:16,5:18,5:20,5:22,|,5:27,5:29,5:31,5:33,Ê,5:36,5:42,Ê,Ê,Ê,5:44
t4,5:06,5:10,5:17,5:20,5:23,5:25,5:28,5:30,5:34,5:36,5:38,5:40,|,5:45,5:47,5:49,5:51,Ê,5:54,5:57,Ê,Ê,Ê,5:59
t5,-,-,-,-,-,-,-,-,-,-,-,5:41,5:44,5:47,Ê,Ê,Ê,5:50,5:54,-,-,-,-,-
t6,-,-,-,-,-,-,-,-,-,-,-,5:51,5:54,5:57,Ê,Ê,Ê,6:00,6:04,-,-,-,-,-
t7,-,-,5:35,5:38,5:41,5:43,5:46,5:48,5:52,5:54,5:56,5:58,|,6:03,6:05,6:07,6:09,Ê,6:12,6:15,Ê,Ê,Ê,6:17
t8,-,-,-,-,-,-,-,-,-,-,-,6:02,6:05,6:08,Ê,Ê,Ê,6:11,6:15,-,-,-,-,-
t9,-,-,-,-,-,-,-,-,-,-,-,6:13,6:16,6:19,Ê,Ê,Ê,6:22,6:26,-,-,-,-,-
t10,5:42,5:46,5:53,5:56,5:59,6:01,6:04,6:06,6:10,6:12,6:14,6:16,|,6:21,6:23,6:25,6:27,Ê,6:30,6:33,Ê,Ê,Ê,6:35
t11,-,-,-,-,-,-,-,-,-,-,-,6:24,6:27,6:30,Ê,Ê,Ê,6:33,6:37,-,-,-,-,-
t12,-,-,6:11,6:14,6:17,6:19,6:22,6:24,6:28,6:30,6:32,6:34,|,6:39,6:41,6:43,6:45,Ê,6:48,-,-,-,-,-
t13,-,-,-,-,-,-,-,-,-,-,-,6:35,6:38,6:41,Ê,Ê,Ê,6:44,6:48,-,-,-,-,-
t14,-,-,-,-,-,-,-,-,-,-,-,6:46,6:49,6:52,Ê,Ê,Ê,6:55,6:59,-,-,-,-,-
t15,6:18,6:22,6:29,6:32,6:35,6:37,6:40,6:42,6:46,6:48,6:50,6:53,|,6:58,7:01,7:03,7:05,Ê,7:08,7:08,Ê,Ê,Ê,7:11
t16,-,-,-,-,-,-,-,-,-,-,-,6:56,|,7:02,Ê,Ê,Ê,7:06,7:10,-,-,-,-,-
t17,-,-,-,-,-,-,-,-,-,-,-,6:59,7:02,7:05,Ê,Ê,Ê,7:08,7:13,-,-,-,-,-
t18,-,-,6:38,6:41,6:44,6:46,6:49,6:51,6:55,6:57,6:59,7:02,|,7:07,7:10,7:12,7:14,Ê,7:17,7:20,Ê,Ê,Ê,7:23
t19,-,-,-,-,-,-,-,-,-,-,-,7:06,|,7:11,Ê,Ê,Ê,7:14,7:18,-,-,-,-,-
t20,-,-,-,-,-,-,-,-,-,-,-,7:09,7:12,7:15,Ê,Ê,Ê,7:18,7:22,-,-,-,-,-
t21,6:36,6:40,6:47,6:50,6:53,6:55,6:58,7:00,7:04,7:06,7:08,7:11,|,7:16,7:19,7:21,7:23,Ê,7:26,7:26,Ê,Ê,Ê,7:29
t22,-,-,-,-,-,-,-,-,-,-,-,7:18,|,7:23,Ê,Ê,Ê,7:26,7:30,-,-,-,-,-
t23,-,-,6:56,6:59,7:02,7:04,7:07,7:09,7:13,7:15,7:17,7:20,|,7:25,7:28,7:30,7:32,Ê,7:35,7:35,Ê,Ê,Ê,7:38
t24,-,-,-,-,-,-,-,-,-,-,-,7:21,7:24,7:27,Ê,Ê,Ê,7:30,7:34,-,-,-,-,-
t25,-,-,-,-,-,-,-,-,-,-,-,7:28,|,7:33,Ê,Ê,Ê,7:36,7:41,-,-,-,-,-
t26,6:54,6:58,7:05,7:08,7:11,7:13,7:16,7:18,|,|,|,7:28,|,7:33,7:36,7:38,7:40,Ê,7:44,7:44,Ê,Ê,Ê,7:47
t27,-,-,-,-,-,-,-,-,-,-,-,7:31,7:34,7:37,Ê,Ê,Ê,7:40,7:44,-,-,-,-,-
t28,-,-,7:11,7:14,7:17,7:19,7:22,7:24,7:28,7:30,7:32,7:35,|,7:40,7:43,7:45,7:47,Ê,7:50,-,-,-,-,-
t29,-,-,-,-,-,-,-,-,-,-,-,7:40,|,7:45,Ê,Ê,Ê,7:48,7:52,-,-,-,-,-
t30,7:06,7:10,7:17,7:20,7:23,7:25,7:28,7:30,|,|,|,7:40,|,7:45,7:48,7:50,7:52,Ê,7:56,7:56,Ê,Ê,Ê,7:59
t31,-,-,-,-,-,-,-,-,-,-,-,7:43,7:46,7:49,Ê,Ê,Ê,7:52,7:56,-,-,-,-,-
t32,-,-,7:23,7:26,7:29,7:31,7:34,7:36,7:40,7:42,7:44,7:47,|,7:52,7:55,7:57,7:59,Ê,8:02,8:02,Ê,Ê,Ê,8:05
t33,-,-,-,-,-,-,-,-,-,-,-,7:50,|,7:55,Ê,Ê,Ê,7:58,8:02,-,-,-,-,-
t34,7:18,7:22,7:29,7:32,7:35,7:37,7:40,7:42,|,|,|,7:52,|,7:57,8:00,8:02,8:04,Ê,8:08,8:08,Ê,Ê,Ê,8:11
t35,-,-,-,-,-,-,-,-,-,-,-,7:53,7:56,8:00,Ê,Ê,Ê,8:03,8:07,-,-,-,-,-
t36,-,-,7:35,7:38,7:41,7:43,7:46,7:48,7:52,7:54,7:56,7:59,|,8:04,8:07,8:09,8:11,Ê,8:14,8:14,Ê,Ê,Ê,8:17
t37,-,-,-,-,-,-,-,-,-,-,-,8:02,|,8:07,Ê,Ê,Ê,8:10,8:14,-,-,-,-,-
t38,7:30,7:34,7:41,7:44,7:47,7:49,7:52,7:54,|,|,|,8:04,|,8:09,8:12,8:14,8:16,Ê,8:20,8:20,Ê,Ê,Ê,8:23
t39,-,-,-,-,-,-,-,-,-,-,-,8:04,8:07,8:10,Ê,Ê,Ê,8:13,8:18,-,-,-,-,-
t40,-,-,7:47,7:50,7:53,7:55,7:58,8:00,8:04,8:06,8:08,8:11,|,8:16,8:19,8:21,8:23,Ê,8:26,-,-,-,-,-
t41,-,-,-,-,-,-,-,-,-,-,-,8:12,|,8:17,Ê,Ê,Ê,8:20,8:24,-,-,-,-,-
t42,-,-,-,-,-,-,-,-,-,-,-,8:15,8:18,8:21,Ê,Ê,Ê,8:24,8:28,-,-,-,-,-
t43,7:42,7:46,7:53,7:56,7:59,8:01,8:04,8:06,|,|,|,8:16,|,8:21,8:24,8:26,8:28,Ê,8:32,8:32,Ê,Ê,Ê,8:35
t44,-,-,7:59,8:02,8:05,8:07,8:10,8:13,8:17,8:19,8:21,8:23,|,8:28,8:31,8:33,8:35,Ê,8:38,8:38,Ê,Ê,Ê,8:41
t45,-,-,-,-,-,-,-,-,-,-,-,8:24,|,8:29,Ê,Ê,Ê,8:32,8:36,-,-,-,-,-
t46,-,-,-,-,-,-,-,-,-,-,-,8:27,8:30,8:34,Ê,Ê,Ê,8:37,8:41,-,-,-,-,-
t47,7:54,7:58,8:05,8:08,8:11,8:13,8:16,8:19,|,|,|,8:28,|,8:33,8:36,8:38,8:40,Ê,8:44,-,-,-,-,-
t48,-,-,-,-,-,-,-,-,-,-,-,8:34,|,8:39,Ê,Ê,Ê,8:42,8:46,-,-,-,-,-
t49,-,-,8:11,8:14,8:17,8:19,8:22,8:25,8:29,8:31,8:33,8:35,|,8:40,8:43,8:45,8:47,Ê,8:50,8:50,Ê,Ê,Ê,8:53
t50,-,-,-,-,-,-,-,-,-,-,-,8:37,8:40,8:43,Ê,Ê,Ê,8:46,8:50,-,-,-,-,-
t51,8:06,8:10,8:17,8:20,8:23,8:25,8:28,8:31,|,|,|,8:40,|,8:45,8:48,8:50,8:52,Ê,8:56,8:56,Ê,Ê,Ê,8:59
t52,-,-,-,-,-,-,-,-,-,-,-,8:46,|,8:51,Ê,Ê,Ê,8:54,8:58,-,-,-,-,-
t53,-,-,-,-,-,-,-,-,-,-,-,8:49,8:52,8:55,Ê,Ê,Ê,8:58,9:02,-,-,-,-,-
t54,-,-,8:26,8:29,8:32,8:34,8:37,8:40,8:44,8:46,8:48,8:50,|,8:55,8:58,9:00,9:02,Ê,9:05,-,-,-,-,-
t55,-,-,-,-,-,-,-,-,-,-,-,8:55,|,9:00,Ê,Ê,Ê,9:03,9:07,-,-,-,-,-
t56,8:24,8:28,8:35,8:38,8:41,8:43,8:46,8:49,8:53,8:55,8:57,8:59,|,9:04,9:07,9:09,9:11,Ê,9:14,9:14,Ê,Ê,Ê,9:17
t57,-,-,-,-,-,-,-,-,-,-,-,8:59,9:02,9:05,Ê,Ê,Ê,9:09,9:13,-,-,-,-,-
t58,-,-,-,-,-,-,-,-,-,-,-,9:08,|,9:13,Ê,Ê,Ê,9:16,9:20,-,-,-,-,-
t59,-,-,8:44,8:47,8:50,8:52,8:55,8:58,9:02,9:04,9:06,9:08,|,9:13,9:16,9:18,9:20,Ê,9:23,-,-,-,-,-
t60,-,-,-,-,-,-,-,-,-,-,-,9:10,9:13,9:16,Ê,Ê,Ê,9:19,9:23,-,-,-,-,-
t61,8:42,8:46,8:53,8:56,8:59,9:01,9:04,9:06,9:10,9:12,9:14,9:17,|,9:22,9:25,9:27,9:29,Ê,9:32,-,-,-,-,-
t62,-,-,-,-,-,-,-,-,-,-,-,9:17,|,9:23,Ê,Ê,Ê,9:26,9:30,-,-,-,-,-
t63,-,-,-,-,-,-,-,-,-,-,-,9:25,9:28,9:31,Ê,Ê,Ê,9:34,9:38,-,-,-,-,-
t64,-,-,-,-,-,-,-,-,-,-,-,9:35,|,9:40,Ê,Ê,Ê,9:43,9:47,-,-,-,-,-
t65,9:02,9:06,9:13,9:16,9:19,9:21,9:24,9:26,9:30,9:32,9:34,9:36,|,9:41,9:44,9:46,9:48,Ê,9:51,-,-,-,-,-
t66,-,-,-,-,-,-,-,-,-,-,-,9:41,9:44,9:47,Ê,Ê,Ê,9:50,9:54,-,-,-,-,-
t67,-,-,-,-,-,-,-,-,-,-,-,9:47,9:50,9:53,Ê,Ê,Ê,9:56,10:00,-,-,-,-,-
t68,-,-,9:31,9:34,9:37,9:39,9:42,9:44,9:48,9:50,9:52,9:54,|,9:59,10:02,10:04,10:06,Ê,10:09,10:12,Ê,Ê,Ê,10:14
t69,-,-,-,-,-,-,-,-,-,-,-,9:57,10:00,10:03,Ê,Ê,Ê,10:06,10:10,-,-,-,-,-
t70,-,-,-,-,-,-,-,-,-,-,-,10:07,10:10,10:13,Ê,Ê,Ê,10:16,10:20,-,-,-,-,-
t71,9:40,9:44,9:51,9:54,9:57,9:59,10:02,10:04,10:08,10:10,10:12,10:14,|,10:19,10:22,10:24,10:26,Ê,10:29,10:32,Ê,Ê,Ê,10:34
t72,-,-,-,-,-,-,-,-,-,-,-,10:17,10:20,10:23,Ê,Ê,Ê,10:26,10:30,-,-,-,-,-
t73,-,-,-,-,-,-,-,-,-,-,-,10:27,10:30,10:33,Ê,Ê,Ê,10:36,10:40,-,-,-,-,-
t74,-,-,10:11,10:14,10:17,10:19,10:22,10:24,10:28,10:30,10:32,10:34,|,10:39,10:42,10:44,10:46,Ê,10:49,10:52,Ê,Ê,Ê,10:54
t75,-,-,-,-,-,-,-,-,-,-,-,10:37,10:40,10:43,Ê,Ê,Ê,10:46,10:50,-,-,-,-,-
t76,-,-,-,-,-,-,-,-,-,-,-,10:47,10:50,10:53,Ê,Ê,Ê,10:56,11:00,-,-,-,-,-
t77,10:20,10:24,10:31,10:34,10:37,10:39,10:42,10:44,10:48,10:50,10:52,10:54,|,10:59,11:02,11:04,11:06,Ê,11:09,11:12,Ê,Ê,Ê,11:14
t78,-,-,-,-,-,-,-,-,-,-,-,10:57,11:00,11:03,Ê,Ê,Ê,11:06,11:10,-,-,-,-,-
t79,-,-,-,-,-,-,-,-,-,-,-,11:07,11:10,11:13,Ê,Ê,Ê,11:16,11:20,-,-,-,-,-
t80,-,-,10:51,10:54,10:57,10:59,11:02,11:04,11:08,11:10,11:12,11:14,|,11:19,11:22,11:24,11:26,Ê,11:29,11:32,Ê,Ê,Ê,11:34
t81,-,-,-,-,-,-,-,-,-,-,-,11:17,11:20,11:23,Ê,Ê,Ê,11:26,11:30,-,-,-,-,-
t82,-,-,-,-,-,-,-,-,-,-,-,11:27,11:30,11:33,Ê,Ê,Ê,11:36,11:40,-,-,-,-,-
t83,11:00,11:04,11:11,11:14,11:17,11:19,11:22,11:24,11:28,11:30,11:32,11:34,|,11:39,11:42,11:44,11:46,Ê,11:49,11:52,Ê,Ê,Ê,11:54
t84,-,-,-,-,-,-,-,-,-,-,-,11:37,11:40,11:43,Ê,Ê,Ê,11:46,11:50,-,-,-,-,-
t85,-,-,-,-,-,-,-,-,-,-,-,11:47,11:50,11:53,Ê,Ê,Ê,11:56,12:00,-,-,-,-,-
t86,-,-,11:31,11:34,11:37,11:39,11:42,11:44,11:48,11:50,11:52,11:54,|,11:59,12:02,12:04,12:06,Ê,12:09,12:12,Ê,Ê,Ê,12:14
t87,-,-,-,-,-,-,-,-,-,-,-,11:57,12:00,12:03,Ê,Ê,Ê,12:06,12:10,-,-,-,-,-
t88,-,-,-,-,-,-,-,-,-,-,-,12:07,12:10,12:13,Ê,Ê,Ê,12:16,12:20,-,-,-,-,-
t89,11:40,11:44,11:51,11:54,11:57,11:59,12:02,12:04,12:08,12:10,12:12,12:14,|,12:19,12:22,12:24,12:26,Ê,12:29,12:32,Ê,Ê,Ê,12:34
t90,-,-,-,-,-,-,-,-,-,-,-,12:17,12:20,12:23,Ê,Ê,Ê,12:26,12:30,-,-,-,-,-
t91,-,-,-,-,-,-,-,-,-,-,-,12:27,12:30,12:33,Ê,Ê,Ê,12:36,12:40,-,-,-,-,-
t92,-,-,12:11,12:14,12:17,12:19,12:22,12:24,12:28,12:30,12:32,12:34,|,12:39,12:42,12:44,12:46,Ê,12:49,-,-,-,-,-
t93,-,-,-,-,-,-,-,-,-,-,-,12:37,12:40,12:43,Ê,Ê,Ê,12:46,12:50,-,-,-,-,-
t94,-,-,-,-,-,-,-,-,-,-,-,12:47,12:50,12:53,Ê,Ê,Ê,12:56,13:00,-,-,-,-,-
